시군구,읍면동,구분,전체수
중랑구,소계,합계,23982
강남구,소계,합계,23747
강동구,소계,합계,22874
강북구,소계,합계,21570
강서구,소계,합계,40551
관악구,소계,합계,24154
광진구,소계,합계,18923
구로구,소계,합계,21474
금천구,소계,합계,19795
노원구,소계,합계,27817
도봉구,소계,합계,19132
동대문,소계,합계,19403
동작구,소계,합계,16473
마포구,소계,합계,14426
서대문구,소계,합계,14894
서초구,소계,합계,11476
성동구,소계,합계,12612
성북구,소계,합계,28027
송파구,소계,합계,22066
양천구,소계,합계,19007
영등포구,소계,합계,17340
용산구,소계,합계,13417
은평구,소계,합계,24602
종로구,소계,합계,9076
중구,소계,합계,8088
