시군구,읍면동,구분,전체수
중랑구,소계,저소득노인,331
강남구,소계,저소득노인,1173
강동구,소계,저소득노인,540
강북구,소계,저소득노인,1107
강서구,소계,저소득노인,1077
관악구,소계,저소득노인,397
광진구,소계,저소득노인,194
구로구,소계,저소득노인,313
금천구,소계,저소득노인,1587
노원구,소계,저소득노인,551
도봉구,소계,저소득노인,1099
동대문,소계,저소득노인,393
동작구,소계,저소득노인,491
마포구,소계,저소득노인,650
서대문구,소계,저소득노인,525
서초구,소계,저소득노인,219
성동구,소계,저소득노인,433
성북구,소계,저소득노인,1273
송파구,소계,저소득노인,269
양천구,소계,저소득노인,439
영등포구,소계,저소득노인,212
용산구,소계,저소득노인,110
은평구,소계,저소득노인,1616
종로구,소계,저소득노인,371
중구,소계,저소득노인,173
